"campaign_id","campaign_name","adgroup_id","adgroup_name","adgroup_targetting_type","product_id","product_name","adgroup_status","campaign_status","impressions","clicks","ctr","cvr","avg_cpc","budget_spend","units_sold_direct","units_sold_indirect","units_sold_total","direct_revenue","indirect_revenue","total_revenue","roi_direct","roi_indirect","roi_total"
"CMP1143430","Kalini Saree Feb - 2026","ADG1246115","NEW PROMOTE","Auto Targeting","38992875","KALINI Linen Blend Saree","ADGROUP_STATUS_EXPIRED","CAMPAIGN_EXPIRED","2","0","0.0000",,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"CMP1299835","SATRANI MARCH","ADG1339690","SATRANI MIX1","Auto Targeting","39656202","Satrani Bandhani Embroidered Pure Georgette Bandhani Saree","ADGROUP_STATUS_EXPIRED","LIVE","1832","34","1.8600","0.0000","1.200000","40.80","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1320232","KALINI MARCH 2026","ADG1339645","KALINI HIT STYLES","Auto Targeting","35269203","KALINI Polka Dots Woven Design Zari Republic Day Saree","ADGROUP_STATUS_EXPIRED","LIVE","25789","854","3.3100","0.0000","1.200000","1024.80","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1140205","SATRANI FEB","ADG1231621","Satrani Saree med1 sku 20 to 22 Feb.","Auto Targeting","36994259","Satrani Printed Pure Linen Saree","ADGROUP_STATUS_EXPIRED","CAMPAIGN_EXPIRED","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"CMP1140205","SATRANI FEB","ADG1231621","Satrani Saree med1 sku 20 to 22 Feb.","Auto Targeting","38139218","Satrani Embellished Embroidered Silk Blend Heavy Work Saree","ADGROUP_STATUS_EXPIRED","CAMPAIGN_EXPIRED","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"CMP1140205","SATRANI FEB","ADG1231621","Satrani Saree med1 sku 20 to 22 Feb.","Auto Targeting","34170081","Satrani Floral Zari Silk Blend Ready to Wear Saree","ADGROUP_STATUS_EXPIRED","CAMPAIGN_EXPIRED","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"CMP1318141","SANGRIA MARCH 2026","ADG1318143","SANGRIA","Auto Targeting","39659019","Sangria Embellished Sarees With Unstitched Blouse Piece","ADGROUP_STATUS_EXPIRED","LIVE","252","4","1.5900","0.0000","1.200000","4.80","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1320289","MITERA MARCH 2026","ADG1375694","MITERA NEW STYLES /","Auto Targeting","40091201","Mitera Bagh Bagh Saree","ADGROUP_STATUS_EXPIRED","LIVE","6814","134","1.9700","0.0000","1.200000","160.80","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1320232","KALINI MARCH 2026","ADG1376136","KALINI NEW STYELS /","Auto Targeting","39659045","KALINI Woven Design Zari Silk Blend Saree","ADGROUP_STATUS_EXPIRED","LIVE","5985","138","2.3100","0.0000","1.200000","165.60","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1320232","KALINI MARCH 2026","ADG1376135","KALINI MIX STYLES /","Auto Targeting","33391947","KALINI Striped Printed Pure Chiffon Saree","ADGROUP_STATUS_EXPIRED","LIVE","19106","558","2.9200","0.0000","1.200000","669.60","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1299835","SATRANI MARCH","ADG1375434","SATRANI NEW /","Auto Targeting","39657816","Satrani Ethnic Motifs Satin Half and Half Saree","ADGROUP_STATUS_EXPIRED","LIVE","1727","23","1.3300","0.0000","1.200000","27.60","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1299835","SATRANI MARCH","ADG1394152","SATRANI MIX 2","Auto Targeting","27525686","Satrani Ethnic Motifs Woven Design Zari Paithani Saree","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","2656","75","2.8200","0.0000","1.200000","90.00","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1299835","SATRANI MARCH","ADG1394162","SATRANI NEW 2","Auto Targeting","39655797","Satrani Embellished Embroidered Pure Georgette Designer Saree","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","7017","204","2.9100","0.4900","1.200000","244.80","1","0","1","2195.4100","0.0000","2195.4100","8.97000000","0.00000000","8.9700"
"CMP1320232","KALINI MARCH 2026","ADG1394021","KALINI MIX 2","Auto Targeting","34288443","KALINI Black Pure Georgette Printed Sarees","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","4604","140","3.0400","0.0000","1.200000","168.00","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1320232","KALINI MARCH 2026","ADG1393965","KALINI HIT 2","Auto Targeting","33950163","KALINI Floral Pure Georgette Designer Saree","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","8416","204","2.4200","0.0000","1.200000","244.80","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1320232","KALINI MARCH 2026","ADG1393965","KALINI HIT 2","Auto Targeting","33768593","KALINI Women Blue Floral Pure Chiffon Saree","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","1704","50","2.9300","0.0000","1.200000","60.00","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1318141","SANGRIA MARCH 2026","ADG1393893","AAY 2","Auto Targeting","40099508","all about you Embellished Poly Georgette Designer Saree","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","245","2","0.8200","0.0000","1.200000","2.40","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1299835","SATRANI MARCH","ADG1394162","SATRANI NEW 2","Auto Targeting","39655343","Satrani Bandhani Pure Chiffon Designer Saree","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","3172","46","1.4500","0.0000","1.200000","55.20","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1299835","SATRANI MARCH","ADG1394152","SATRANI MIX 2","Auto Targeting","38754298","Satrani Woven Design Sequinned Pure Chiffon Heavy Work Saree","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","2306","104","4.5100","0.0000","1.200000","124.80","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1320289","MITERA MARCH 2026","ADG1394106","MITERA MIX 2","Auto Targeting","40091210","Mitera Woven Design Sequinned Silk Blend Fusion Saree","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","269","5","1.8600","0.0000","1.200000","6.00","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1320232","KALINI MARCH 2026","ADG1394021","KALINI MIX 2","Auto Targeting","38992854","KALINI Floral Saree","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","180","4","2.2200","0.0000","1.200000","4.80","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1299835","SATRANI MARCH","ADG1394152","SATRANI MIX 2","Auto Targeting","34013075","Satrani Ombre Dyed Pure Georgette Ready to Wear Saree","ADGROUP_STATUS_LIVE","LIVE","1474","34","2.3100","0.0000","1.200000","40.80","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1320232","KALINI MARCH 2026","ADG1393965","KALINI HIT 2","Auto Targeting","33950153","KALINI Women Striped Print Saree With Unstiched Blouse Piece","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","40783","2508","6.1500","0.0800","1.200000","3009.60","2","0","2","1778.9600","0.0000","1778.9600","0.59000000","0.00000000","0.5900"
